Year,Province,Grade,Male,Female,
2012,KPK,9,"14,696","2,662",
2012,KPK,10,312,94,
2012,KPK,11,"1,603",216,
2012,KPK,12,"26,993","16,332",
2012,KPK,13,87,1,
2012,KPK,14,"14,689","1,711",
2012,KPK,15,"21,873","7,325",
2012,KPK,16,"12,957","5,560",
2012,KPK,17,"8,211","2,153",
2012,KPK,18,"2,318",337,
2012,KPK,19,"1,087",108,
2012,KPK,20,307,59,
2012,KPK,21,73,4,
2012,KPK,22,2,0,
2012,Balochistan,1,6505,295,
2012,Balochistan,2,1975,6,
2012,Balochistan,3,306,0,
2012,Balochistan,4,1003,0,
2012,Balochistan,5,1753,364,
2012,Balochistan,6,1863,6,
2012,Balochistan,7,1721,14,
2012,Balochistan,8,595,308,
2012,Balochistan,9,1107,6,
2012,Balochistan,10,7,0,
2012,Balochistan,11,928,278,
2012,Balochistan,12,528,15,
2012,Balochistan,13,24,0,
2012,Balochistan,14,906,60,
2012,Balochistan,15,215,4,
2012,Balochistan,16,531,71,
2012,Balochistan,17,1411,82,
2012,Balochistan,18,282,15,
2012,Balochistan,19,84,3,
2012,Balochistan,20,28,0,
2012,Balochistan,21,5,0,
2012,Gilgit-Baltistan,1,262,1,
2012,Gilgit-Baltistan,2,390,0,
2012,Gilgit-Baltistan,3,23,0,
2012,Gilgit-Baltistan,4,57,0,
2012,Gilgit-Baltistan,5,4427,132,
2012,Gilgit-Baltistan,6,97,3,
2012,Gilgit-Baltistan,7,804,14,
2012,Gilgit-Baltistan,8,24,0,
2012,Gilgit-Baltistan,9,283,19,
2012,Gilgit-Baltistan,10,15,0,
2012,Gilgit-Baltistan,11,35,0,
2012,Gilgit-Baltistan,12,46,0,
2012,Gilgit-Baltistan,13,5,0,
2012,Gilgit-Baltistan,14,241,6,
2012,Gilgit-Baltistan,15,33,0,
2012,Gilgit-Baltistan,16,130,1,
2012,Gilgit-Baltistan,17,171,1,
2012,Gilgit-Baltistan,18,52,1,
2012,Gilgit-Baltistan,19,17,0,
2012,Gilgit-Baltistan,20,4,0,
2012,Gilgit-Baltistan,21,1,0,
2013,Punjab,1,9091,431,
2013,Punjab,2,5377,429,
2013,Punjab,3,1751,175,
2013,Punjab,4,1840,788,
2013,Punjab,5,2980,55,
2013,Punjab,6,2066,45,
2013,Punjab,7,3119,114,
2013,Punjab,8,915,14,
2013,Punjab,9,3242,605,
2013,Punjab,10,197,6,
2013,Punjab,11,2394,57,
2013,Punjab,12,865,121,
2013,Punjab,13,182,2,
2013,Punjab,14,1378,54,
2013,Punjab,15,530,13,
2013,Punjab,16,1467,2302,
2013,Punjab,17,4275,1369,
2013,Punjab,18,2086,508,
2013,Punjab,19,1069,213,
2013,Punjab,20,299,56,
2013,Punjab,21,205,4,
2013,Punjab,22,5,0,
2013,Sindh,1,131,1,
2013,Sindh,2,587,77,
2013,Sindh,3,2,0,
2013,Sindh,4,5,0,
2013,Sindh,5,65,0,
2013,Sindh,6,8,0,
2013,Sindh,7,52,0,
2013,Sindh,8,5,0,
2013,Sindh,9,4,0,
2013,Sindh,10,3,0,
2013,Sindh,11,15,0,
2013,Sindh,12,1,0,
2013,Sindh,14,13,0,
2013,Sindh,15,1,0,
2013,Sindh,16,4,0,
2013,Sindh,17,3,0,
2013,KPK,1,"30,172","1,270",
2013,KPK,2,"40,500","2,315",
2013,KPK,3,"4,907",813,
2013,KPK,4,"2,177",85,
2013,KPK,5,"52,195",880,
2013,KPK,6,"1,564",81,
2013,KPK,7,"17,094","1,090",
2013,KPK,8,181,264,
2013,KPK,9,"15,133","2,677",
2013,KPK,10,333,95,
2013,KPK,11,"1,656",220,
2013,KPK,12,"27,463","16,461",
2013,KPK,13,87,1,
2013,KPK,14,"14,851","1,726",
2013,KPK,15,"22,200","7,477",
2013,KPK,16,"13,071","5,683",
2013,KPK,17,"8,362","2,206",
2013,KPK,18,"2,319",338,
2013,KPK,19,"1,088",108,
2013,KPK,20,307,59,
2013,KPK,21,74,4,
2013,KPK,22,2,0,
2013,Balochistan,1,6618,284,
2013,Balochistan,2,2032,105,
2013,Balochistan,3,309,0,
2013,Balochistan,4,973,2,
2013,Balochistan,5,1793,422,
2013,Balochistan,6,1916,5,
2013,Balochistan,7,1743,36,
2013,Balochistan,8,593,317,
2013,Balochistan,9,1206,10,
2013,Balochistan,10,7,0,
2013,Balochistan,11,980,297,
2013,Balochistan,12,484,21,
2013,Balochistan,13,25,0,
2013,Balochistan,14,954,86,
2013,Balochistan,15,199,4,
2013,Balochistan,16,570,146,
2013,Balochistan,17,1535,94,
2013,Balochistan,18,301,36,
2013,Balochistan,19,84,9,
2013,Balochistan,20,30,4,
2013,Balochistan,21,3,0,
2013,Gilgit-Baltistan,1,285,1,
2013,Gilgit-Baltistan,2,371,0,
2013,Gilgit-Baltistan,3,20,0,
2013,Gilgit-Baltistan,4,62,0,
2013,Gilgit-Baltistan,5,4428,132,
2013,Gilgit-Baltistan,6,98,3,
2013,Gilgit-Baltistan,7,811,14,
2013,Gilgit-Baltistan,8,1,0,
2013,Gilgit-Baltistan,9,304,19,
2013,Gilgit-Baltistan,10,3,0,
2013,Gilgit-Baltistan,11,45,0,
2013,Gilgit-Baltistan,12,53,0,
2013,Gilgit-Baltistan,14,244,6,
2013,Gilgit-Baltistan,15,29,0,
2013,Gilgit-Baltistan,16,116,1,
2013,Gilgit-Baltistan,17,157,6,
2013,Gilgit-Baltistan,18,51,1,
2013,Gilgit-Baltistan,19,16,0,
2013,Gilgit-Baltistan,20,4,0,
2013,Gilgit-Baltistan,21,1,0,
2014,Punjab,22,1,0,
2014,Punjab,21,5,0,
2014,Punjab,20,39,3,
2014,Punjab,19,410,47,
2014,Punjab,18,1537,189,
2014,Punjab,17,4126,1670,
2014,Punjab,16,2626,813,
2014,Punjab,15,238,10,
2014,Punjab,14,3069,215,
2014,Punjab,13,49,10,
2014,Punjab,12,431,64,
2014,Punjab,11,3712,1085,
2014,Punjab,10,107,139,
2014,Punjab,9,6257,1158,
2014,Punjab,8,456,215,
2014,Punjab,7,2725,101,
2014,Punjab,6,1064,239,
2014,Punjab,5,3908,1950,
2014,Punjab,4,2157,69,
2014,Punjab,3,599,58,
2014,Punjab,2,4181,196,
2014,Punjab,1,19418,2324,
2014,Sindh,21,1,0,
2014,Sindh,20,9,0,
2014,Sindh,19,71,39,
2014,Sindh,18,208,97,
2014,Sindh,17,426,131,
2014,Sindh,16,239,90,
2014,Sindh,15,12,0,
2014,Sindh,14,524,119,
2014,Sindh,13,6,0,
2014,Sindh,12,74,0,
2014,Sindh,11,382,458,
2014,Sindh,10,4,0,
2014,Sindh,9,248,1,
2014,Sindh,8,13,673,
2014,Sindh,7,686,106,
2014,Sindh,6,41,0,
2014,Sindh,5,1555,1037,
2014,Sindh,4,172,0,
2014,Sindh,3,24,0,
2014,Sindh,2,1995,1200,
2014,Sindh,1,1890,2,
2014,KPK,21,14,1,
2014,KPK,20,69,1,
2014,KPK,19,77,2,
2014,KPK,18,157,7,
2014,KPK,17,678,34,
2014,KPK,16,553,15,
2014,KPK,14,328,5,
2014,KPK,11,267,7,
2014,Balochistan,22,1,,
2014,Balochistan,21,9,,
2014,Balochistan,20,43,,
2014,Balochistan,19,141,1,
2014,Balochistan,18,464,40,
2014,Balochistan,17,1463,40,
2014,Balochistan,16,953,23,
2014,Balochistan,15,164,1,
2014,Balochistan,14,1050,30,
2014,Balochistan,13,32,,
2014,Balochistan,12,211,10,
2014,Balochistan,11,1681,62,
2014,Balochistan,10,8,1,
2014,Balochistan,9,514,26,
2014,Balochistan,8,443,11,
2014,Balochistan,7,345,2,
2014,Balochistan,6,2292,15,
2014,Balochistan,5,1983,3,
2014,Balochistan,4,890,5,
2014,Balochistan,3,228,,
2014,Balochistan,2,2707,24,
2014,Balochistan,1,6697,101,
2014,Gilgit-Baltistan,20,1,,
2014,Gilgit-Baltistan,19,10,,
2014,Gilgit-Baltistan,18,29,1,
2014,Gilgit-Baltistan,17,56,5,
2014,Gilgit-Baltistan,16,96,6,
2014,Gilgit-Baltistan,15,32,,
2014,Gilgit-Baltistan,14,8,,
2014,Gilgit-Baltistan,13,47,10,
2014,Gilgit-Baltistan,11,27,,
2014,Gilgit-Baltistan,10,34,,
2014,Gilgit-Baltistan,8,45,,
2014,Gilgit-Baltistan,7,1,10,
2014,Gilgit-Baltistan,6,148,,
2014,Gilgit-Baltistan,5,1,,
2014,Gilgit-Baltistan,4,86,3,
2014,Gilgit-Baltistan,3,26,,
2014,Gilgit-Baltistan,2,3,,
2014,Gilgit-Baltistan,1,105,,
2015,Punjab,22,1,0,
2015,Punjab,21,5,0,
2015,Punjab,20,37,5,
2015,Punjab,19,441,48,
2015,Punjab,18,1503,185,
2015,Punjab,17,4473,1798,
2015,Punjab,16,2615,957,
2015,Punjab,15,202,8,
2015,Punjab,14,3180,246,
2015,Punjab,13,49,6,
2015,Punjab,12,444,67,
2015,Punjab,11,3506,1118,
2015,Punjab,10,106,112,
2015,Punjab,9,6448,1181,
2015,Punjab,8,238,192,
2015,Punjab,7,2660,147,
2015,Punjab,6,1022,216,
2015,Punjab,5,3861,1952,
2015,Punjab,4,2236,80,
2015,Punjab,3,626,59,
2015,Punjab,2,4116,194,
2015,Punjab,1,19440,1233,
2015,Sindh,21,1,0,
2015,Sindh,20,10,,
2015,Sindh,19,71,39,
2015,Sindh,18,208,96,
2015,Sindh,17,431,131,
2015,Sindh,16,233,90,
2015,Sindh,15,12,1,
2015,Sindh,14,480,119,
2015,Sindh,13,6,0,
2015,Sindh,12,80,1,
2015,Sindh,11,403,458,
2015,Sindh,10,3,0,
2015,Sindh,9,347,1,
2015,Sindh,8,2,673,
2015,Sindh,7,703,108,
2015,Sindh,6,41,0,
2015,Sindh,5,1582,1037,
2015,Sindh,4,181,0,
2015,Sindh,3,13,0,
2015,Sindh,2,1972,1199,
2015,Sindh,1,1910,1,
2015,KPK,21,13,1,
2015,KPK,20,56,1,
2015,KPK,19,108,7,
2015,KPK,18,161,8,
2015,KPK,17,661,34,
2015,KPK,16,566,18,
2015,KPK,14,335,6,
2015,KPK,11,281,7,
2015,Balochistan,22,1,,
2015,Balochistan,21,9,,
2015,Balochistan,20,44,,
2015,Balochistan,19,146,2,
2015,Balochistan,18,468,7,
2015,Balochistan,17,1486,37,
2015,Balochistan,16,1032,25,
2015,Balochistan,15,252,,
2015,Balochistan,14,1065,31,
2015,Balochistan,13,32,,
2015,Balochistan,12,262,13,
2015,Balochistan,11,1824,67,
2015,Balochistan,10,8,2,
2015,Balochistan,9,625,29,
2015,Balochistan,8,443,11,
2015,Balochistan,7,360,5,
2015,Balochistan,6,2306,14,
2015,Balochistan,5,2115,11,
2015,Balochistan,4,901,4,
2015,Balochistan,3,273,3,
2015,Balochistan,2,3040,26,
2015,Balochistan,1,6843,97,
2015,Gilgit-Baltistan,20,1,,
2015,Gilgit-Baltistan,19,10,,
2015,Gilgit-Baltistan,18,29,2,
2015,Gilgit-Baltistan,17,56,4,
2015,Gilgit-Baltistan,16,96,6,
2015,Gilgit-Baltistan,15,31,,
2015,Gilgit-Baltistan,14,8,,
2015,Gilgit-Baltistan,13,47,10,
2015,Gilgit-Baltistan,11,27,,
2015,Gilgit-Baltistan,10,34,,
2015,Gilgit-Baltistan,8,43,,
2015,Gilgit-Baltistan,7,1,10,
2015,Gilgit-Baltistan,6,147,,
2015,Gilgit-Baltistan,5,1,,
2015,Gilgit-Baltistan,4,86,3,
2015,Gilgit-Baltistan,3,26,,
2015,Gilgit-Baltistan,2,3,,
2015,Gilgit-Baltistan,1,105,,
2016,Punjab,22,1,0,
2016,Punjab,21,5,0,
2016,Punjab,20,40,5,
2016,Punjab,19,437,55,
2016,Punjab,18,1518,197,
2016,Punjab,17,4846,2096,
2016,Punjab,16,3272,1144,
2016,Punjab,15,542,61,
2016,Punjab,14,3727,271,
2016,Punjab,13,36,6,
2016,Punjab,12,355,53,
2016,Punjab,11,5388,1208,
2016,Punjab,10,79,104,
2016,Punjab,9,6149,1191,
2016,Punjab,8,228,182,
2016,Punjab,7,937,44,
2016,Punjab,6,1009,210,
2016,Punjab,5,3869,1953,
