TIMESTAMP,A,B,C
2022071114,7,331,903
2022071115,7,331,902
2022071115,6,331,902
2022071115,7,334,901
2022071115,7,329,903
2022071115,6,334,900
2022071115,7,327,900
2022071116,7,334,902
2022071116,6,334,903
2022071116,7,329,899
2022071116,7,334,900
2022071116,6,336,903
2022071116,7,336,902
2022071117,7,334,903
2022071117,6,331,902
2022071117,7,331,903
2022071117,7,331,905
2022071117,6,334,907
2022071117,7,329,907
2022071118,7,327,905
2022071118,6,327,906
2022071118,7,325,902
2022071118,7,327,903
2022071118,6,323,902
2022071118,7,319,900
2022071119,7,321,901
2022071119,6,321,900
2022071119,7,323,899
2022071119,7,321,900
2022071119,6,317,898
2022071119,7,321,899
2022071120,7,317,898
2022071120,6,317,900
2022071120,7,310,900
2022071120,7,314,901
2022071120,6,312,900
2022071120,7,312,901
2022071121,7,314,901
2022071121,6,317,902
2022071121,7,314,902
2022071121,7,314,901
2022071121,7,314,903
2022071121,6,312,901
2022071122,7,312,900
2022071122,7,312,899
2022071122,6,312,902
2022071122,7,312,901
2022071122,5,317,901
2022071122,1,312,5485
2022071123,0,314,0
2022071123,0,310,0
2022071123,0,308,0
2022071123,0,304,0
2022071123,0,300,0
2022071123,0,293,0
2022071200,0,293,0
2022071200,0,291,0
2022071200,0,289,0
2022071200,0,285,0
2022071200,0,278,0
2022071200,0,280,0
2022071201,0,278,0
2022071201,0,280,0
2022071201,0,274,0
2022071201,0,272,0
2022071201,0,268,0
2022071201,0,270,0
2022071202,0,268,0
2022071202,0,265,0
2022071202,0,263,0
2022071202,0,263,0
2022071202,0,259,0
2022071202,0,257,0
2022071203,0,259,0
2022071203,0,261,0
2022071203,0,259,0
2022071203,0,257,0
2022071203,0,257,0
2022071203,0,255,0
2022071204,0,257,0
2022071204,0,253,0
2022071204,0,257,0
2022071204,0,255,0
2022071204,0,250,0
2022071204,0,250,0
2022071205,0,253,0
2022071205,0,255,0
2022071205,0,255,0
2022071205,0,250,0
2022071205,0,248,0
2022071206,0,257,0
2022071206,0,250,0
2022071206,0,250,0
2022071206,0,248,0
2022071206,0,246,0
2022071206,8,248,530
2022071207,6,250,894
2022071207,7,253,896
2022071207,6,253,892
2022071207,4,261,889
2022071207,7,263,886
2022071207,7,270,891
2022071208,6,274,892
2022071208,7,278,889
2022071208,7,276,889
2022071208,7,280,886
2022071208,6,285,885
2022071208,7,289,885
2022071209,7,291,884
2022071209,7,293,884
2022071209,7,293,882
2022071209,6,297,882
2022071209,7,302,882
2022071209,7,302,883
2022071210,7,304,880
2022071210,7,304,879
2022071210,7,308,880
2022071210,6,312,878
2022071210,7,314,878
2022071210,7,321,877
2022071211,7,314,876
2022071211,7,319,877
2022071211,7,319,876
2022071211,7,327,874
2022071211,6,329,876
2022071211,7,329,874
2022071212,7,331,873
2022071212,7,331,875
2022071212,7,336,874
2022071212,7,338,874
2022071212,7,338,874
2022071212,7,338,872
2022071213,7,338,870
2022071213,6,346,871
2022071213,7,346,869
2022071213,7,346,871
2022071213,7,349,871
2022071213,7,346,871
