Date,Price,Open,High,Low,Vol.,Change %
"Oct 18, 2018","37,982.25","37,806.08","38,189.16","37,438.38",116.46M,0.89%
"Oct 17, 2018","37,647.34","36,686.20","37,704.08","36,684.95",101.31M,2.68%
"Oct 16, 2018","36,663.38","36,784.07","37,339.49","36,491.56",92.13M,-0.28%
"Oct 15, 2018","36,767.57","37,453.24","37,575.89","36,274.25",105.52M,-2.00%
"Oct 12, 2018","37,517.93","38,445.08","38,445.08","37,405.40",92.22M,-2.29%
"Oct 11, 2018","38,398.30","38,743.35","38,743.35","38,256.70",84.71M,-1.02%
"Oct 10, 2018","38,792.09","38,551.30","38,826.80","37,894.09",112.57M,0.75%
"Oct 09, 2018","38,504.84","37,965.23","39,027.34","37,965.23",125.04M,1.60%
"Oct 08, 2018","37,898.29","39,224.88","39,297.31","37,769.61",113.82M,-3.39%
"Oct 05, 2018","39,226.35","40,081.75","40,136.32","39,030.03",87.37M,-2.15%
"Oct 04, 2018","40,087.12","40,568.92","40,603.73","39,993.98",54.99M,-1.17%
"Oct 03, 2018","40,560.19","40,818.60","40,838.86","40,471.30",52.64M,-0.59%
"Oct 02, 2018","40,800.25","40,974.07","41,214.48","40,739.76",66.60M,-0.32%
"Oct 01, 2018","40,929.44","40,985.03","41,029.06","40,709.29",71.48M,-0.17%
"Sep 28, 2018","40,998.59","40,862.69","41,047.08","40,622.11",98.75M,0.36%
"Sep 27, 2018","40,851.80","40,904.34","40,972.79","40,383.23",95.30M,-0.14%
"Sep 26, 2018","40,909.91","41,073.37","41,139.37","40,717.78",77.04M,-0.31%
"Sep 25, 2018","41,036.30","41,018.81","41,193.18","40,957.32",54.64M,0.08%
"Sep 24, 2018","41,004.55","41,394.97","41,533.64","40,899.28",54.85M,-0.76%
"Sep 19, 2018","41,320.13","41,299.73","41,357.34","41,100.58",95.32M,0.20%
"Sep 18, 2018","41,238.07","40,540.53","41,270.43","40,438.03",83.32M,1.77%
"Sep 17, 2018","40,520.47","40,933.53","40,961.36","40,255.23",69.40M,-0.98%
"Sep 14, 2018","40,920.31","41,147.91","41,230.69","40,790.06",80.63M,-0.32%
"Sep 13, 2018","41,049.91","40,498.05","41,150.41","40,339.04",93.50M,1.30%
"Sep 12, 2018","40,522.04","40,768.98","40,824.38","40,424.09",69.64M,-0.58%
"Sep 11, 2018","40,759.53","40,723.40","40,943.19","40,519.03",77.72M,0.19%
"Sep 10, 2018","40,684.05","40,860.60","40,927.49","40,369.17",60.27M,-0.42%
"Sep 07, 2018","40,854.77","41,329.63","41,416.74","40,793.70",70.05M,-1.00%
"Sep 06, 2018","41,266.39","41,609.97","41,715.01","41,223.56",97.34M,-0.85%
"Sep 05, 2018","41,620.96","41,766.77","41,805.34","41,495.41",70.46M,-0.32%
"Sep 04, 2018","41,753.89","41,594.98","41,790.77","41,555.96",65.13M,0.41%
"Sep 03, 2018","41,581.96","41,731.76","41,736.28","41,192.04",80.84M,-0.38%
"Aug 31, 2018","41,742.24","41,888.23","42,006.03","41,626.70",88.50M,-0.29%
